"Data Element (Field Name)","Type (min,max)",Required,"Format / Values"
"`Organisation Path`_ (organisation_path)

",string,yes,"A sequence of colon separated Organisation Keys that fully specifies the Provider Organisation providing a service to the client."
"`Measure Key`_ (measure_key)

","string (2,50)",yes,"This is a number or code assigned to each instance of a measure. The Measure Key is unique and stable for each instance of a measure at the level of the organisation."
"`Intake Key`_ (intake_key)

","string (2,50)",yes,"This is a number or code assigned to each intake. The Intake Key is unique and stable for each intake at the level of the organisation."
"`IAR-DST - Version`_ (iar_dst_version)

",string,yes,":1: `IAR-DST version 1.05 <https://docs.iar-dst.online/en/v1/>`_
:2.child: `IAR-DST Children (5-11 years) version 2.00 <https://docs.iar-dst.online/en/v2/child/index.html>`_
:2.adolescent: `IAR-DST Adolescent (12-17 years) version 2.00 <https://docs.iar-dst.online/en/v2/adolescent/index.html>`_
:2.adult: `IAR-DST Adult (18-64 years) version 2.00 <https://docs.iar-dst.online/en/v2/adult/index.html>`_
:2.older-adult: `IAR-DST Older Adult (65 years and over) version 2.00 <https://docs.iar-dst.online/en/v2/older-adult/index.html>`_"
"`IAR-DST - Domain 1`_ (iar_dst_domain_1)

",string,yes,":0: *Refer to the relevant IAR-DST specification* linked above
:1: *Refer to the relevant IAR-DST specification* linked above
:2: *Refer to the relevant IAR-DST specification* linked above
:3: *Refer to the relevant IAR-DST specification* linked above
:4: *Refer to the relevant IAR-DST specification* linked above"
"`IAR-DST - Domain 2`_ (iar_dst_domain_2)

",string,yes,":0: *Refer to the relevant IAR-DST specification* linked above
:1: *Refer to the relevant IAR-DST specification* linked above
:2: *Refer to the relevant IAR-DST specification* linked above
:3: *Refer to the relevant IAR-DST specification* linked above
:4: *Refer to the relevant IAR-DST specification* linked above"
"`IAR-DST - Domain 3`_ (iar_dst_domain_3)

",string,yes,":0: *Refer to the relevant IAR-DST specification* linked above
:1: *Refer to the relevant IAR-DST specification* linked above
:2: *Refer to the relevant IAR-DST specification* linked above
:3: *Refer to the relevant IAR-DST specification* linked above
:4: *Refer to the relevant IAR-DST specification* linked above"
"`IAR-DST - Domain 4`_ (iar_dst_domain_4)

",string,yes,":0: *Refer to the relevant IAR-DST specification* linked above
:1: *Refer to the relevant IAR-DST specification* linked above
:2: *Refer to the relevant IAR-DST specification* linked above
:3: *Refer to the relevant IAR-DST specification* linked above
:4: *Refer to the relevant IAR-DST specification* linked above"
"`IAR-DST - Domain 5`_ (iar_dst_domain_5)

",string,yes,":0: *Refer to the relevant IAR-DST specification* linked above
:1: *Refer to the relevant IAR-DST specification* linked above
:2: *Refer to the relevant IAR-DST specification* linked above
:3: *Refer to the relevant IAR-DST specification* linked above
:4: *Refer to the relevant IAR-DST specification* linked above"
"`IAR-DST - Domain 6`_ (iar_dst_domain_6)

",string,yes,":0: *Refer to the relevant IAR-DST specification* linked above
:1: *Refer to the relevant IAR-DST specification* linked above
:2: *Refer to the relevant IAR-DST specification* linked above
:3: *Refer to the relevant IAR-DST specification* linked above
:4: *Refer to the relevant IAR-DST specification* linked above"
"`IAR-DST - Domain 7`_ (iar_dst_domain_7)

",string,yes,":0: *Refer to the relevant IAR-DST specification* linked above
:1: *Refer to the relevant IAR-DST specification* linked above
:2: *Refer to the relevant IAR-DST specification* linked above
:3: *Refer to the relevant IAR-DST specification* linked above
:4: *Refer to the relevant IAR-DST specification* linked above"
"`IAR-DST - Domain 8`_ (iar_dst_domain_8)

",string,yes,":0: *Refer to the relevant IAR-DST specification* linked above
:1: *Refer to the relevant IAR-DST specification* linked above
:2: *Refer to the relevant IAR-DST specification* linked above
:3: *Refer to the relevant IAR-DST specification* linked above
:4: *Refer to the relevant IAR-DST specification* linked above"
"`IAR-DST - Recommended Level of Care`_ (iar_dst_recommended_level_of_care)

",string,yes,":1: Level 1 - Self Management
:1+: Level 1 or above - Review assessment on Contextual Domains to determine most appropriate placement
:2: Level 2 - Low Intensity Services
:2+: Level 2 or above - Review assessment on Contextual Domains to determine most appropriate placement
:3: Level 3 - Moderate Intensity Services
:3+: Level 3 or above - Review assessment on Contextual Domains to determine most appropriate placement
:4: Level 4 - High Intensity Services
:4+: Level 4 or above - Review assessment on Contextual Domains to determine most appropriate placement
:5: Level 5 - Acute and Specialist Community Mental Health Services"
"`IAR-DST - Practitioner Level of Care`_ (iar_dst_practitioner_level_of_care)

",string,yes,":1: Level 1 - Self Management
:2: Level 2 - Low Intensity Services
:3: Level 3 - Moderate Intensity Services
:4: Level 4 - High Intensity Services
:5: Level 5 - Acute and Specialist Community Mental Health Services
:9: Not stated"
"`IAR-DST - Tags`_ (iar_dst_tags)

",string,"—","List of tags for the measure."
