Metadata,"Provider Organisation",Practitioner,Client,Intake,"Intake Episode",Episode,"Service Contact","Service Contact Practitioner","Collection Occasion","K10+ Measure","K5 Measure","SDQ Measure","IAR-DST Measure","UA Episode","UA Critical Incident","UA Recommendation Out","UA Plan","UA Needs Identification","WHO-5 Measure","SIDAS Measure"
Key,"Organisation Path","Organisation Path","Organisation Path","Organisation Path","Episode Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path","Organisation Path"
Value,"Organisation Key","Practitioner Key","Client Key","Intake Key","Episode Key","Episode Key","Service Contact Key","Service Contact Practitioner Key","Collection Occasion Key","Measure Key","Measure Key","Measure Key","Measure Key","Episode Key","UA Critical Incident Key","UA Recommendation Out Key","UA Plan Key","UA Needs Identification Key","Measure Key","Measure Key"
,Name,"Practitioner Category","Statistical Linkage Key","Client Key","Intake Organisation Path","Client Key","Episode Key","Service Contact Key","Episode Key","Collection Occasion Key","Collection Occasion Key","Collection Occasion Key","Intake Key","Sexual Orientation","Episode Key","Episode Key","Collection Occasion Key","Collection Occasion Key","Collection Occasion Key","Collection Occasion Key"
,"Legal Name","ATSI Cultural Training","Date of Birth","Client Consent to Anonymised Data","Intake Key","Episode End Date","Service Contact Date","Practitioner Key","Collection Occasion Date","K10+ - Question 1","K5 - Question 1","SDQ Collection Occasion - Version","IAR-DST - Version","Transgender Status","Critical Incident Type","Recommendation Out Provider Type","Plan Type","Needs Identification Type","WHO-5 - Question 1","SIDAS - Question 1"
,ABN,"Year of Birth","Estimated Date of Birth Flag","Referral Date",,"Client Consent to Anonymised Data","Service Contact Type","Primary Practitioner Indicator","Collection Occasion Reason","K10+ - Question 2","K5 - Question 2","SDQ - Question 1","IAR-DST - Domain 1","Intersex Status","Critical Incident Date","Recommendation Out Status","Plan Tags","Needs Identification Tags","WHO-5 - Question 2","SIDAS - Question 2"
,"Organisation Type","Practitioner Gender","Client Gender","Program Type",,"Episode Completion Status",Postcode,,"Collection Occasion Tags","K10+ - Question 3","K5 - Question 3","SDQ - Question 2","IAR-DST - Domain 2","Eligibility Type",,,,,"WHO-5 - Question 3","SIDAS - Question 3"
,State,"Practitioner Aboriginal and Torres Strait Islander Status","Aboriginal and Torres Strait Islander Status","Referrer Profession",,"Referral Date",Modality,,,"K10+ - Question 4","K5 - Question 4","SDQ - Question 3","IAR-DST - Domain 3","External Evaluator Contact Consent",,,,,"WHO-5 - Question 4","SIDAS - Question 4"
,"Organisation Start Date",Active,"Country of Birth","Referrer Organisation Type",,"Program Type",Participants,,,"K10+ - Question 5","K5 - Question 5","SDQ - Question 4","IAR-DST - Domain 4","Primary Nominated Professional",,,,,"WHO-5 - Question 5","SIDAS - Question 5"
,"Organisation End Date","Practitioner Tags","Main Language Spoken at Home","Date client contacted Intake",,"Principal Focus of Treatment Plan",Venue,,,"K10+ - Question 6","K5 - Score","SDQ - Question 5","IAR-DST - Domain 5","Primary Nominated Professional Consent Date",,,,,"WHO-5 - Tags","SIDAS - Tags"
,Sites,,"Proficiency in Spoken English","Suicide Referral Flag",,"GP Mental Health Treatment Plan Flag",Duration,,,"K10+ - Question 7","K5 - Tags","SDQ - Question 6","IAR-DST - Domain 6","Primary Nominated Professional Contact Entry Date"
,"Organisation Tags",,"Client Tags","Date referred to other service at Intake conclusion",,"Homelessness Flag",Copayment,,,"K10+ - Question 8",,"SDQ - Question 7","IAR-DST - Domain 7","Primary Nominated Professional Contact Exit Date"
,,,,"Organisation type referred to at Intake conclusion",,"Area of usual residence, postcode","Client Participation Indicator",,,"K10+ - Question 9",,"SDQ - Question 8","IAR-DST - Domain 8","Previous suicide attempts"
,,,,"Referred to Organisation Path",,"Labour Force Status","Interpreter Used",,,"K10+ - Question 10",,"SDQ - Question 9","IAR-DST - Recommended Level of Care","Method of suicide attempt"
,,,,"Intake Tags",,"Employment Participation","No Show",,,"K10+ - Question 11",,"SDQ - Question 10","IAR-DST - Practitioner Level of Care"
,,,,,,"Source of Cash Income","Final Service Contact",,,"K10+ - Question 12",,"SDQ - Question 11","IAR-DST - Practitioner Reason for Override"
,,,,,,"Health Care Card","Start Time",,,"K10+ - Question 13",,"SDQ - Question 12","IAR-DST - Tags"
,,,,,,"NDIS Participant","Funding Source",,,"K10+ - Question 14",,"SDQ - Question 13"
,,,,,,"Marital Status","Service Contact Site",,,"K10+ - Score",,"SDQ - Question 14"
,,,,,,Veteran,"Service Contact Tags",,,"K10+ - Tags",,"SDQ - Question 15"
,,,,,,"Suicide Referral Flag",,,,,,"SDQ - Question 16"
,,,,,,"Principal Diagnosis",,,,,,"SDQ - Question 17"
,,,,,,"Additional Diagnosis",,,,,,"SDQ - Question 18"
,,,,,,"Medication - Antipsychotics (N05A)",,,,,,"SDQ - Question 19"
,,,,,,"Medication - Anxiolytics (N05B)",,,,,,"SDQ - Question 20"
,,,,,,"Medication - Hypnotics and sedatives (N05C)",,,,,,"SDQ - Question 21"
,,,,,,"Medication - Antidepressants (N06A)",,,,,,"SDQ - Question 22"
,,,,,,"Medication - Psychostimulants and nootropics (N06B)",,,,,,"SDQ - Question 23"
,,,,,,"Referrer Profession",,,,,,"SDQ - Question 24"
,,,,,,"Referrer Organisation Type",,,,,,"SDQ - Question 25"
,,,,,,"Organisation type referred to at Episode conclusion",,,,,,"SDQ - Question 26"
,,,,,,"Episode Tags",,,,,,"SDQ - Question 27"
,,,,,,,,,,,,"SDQ - Question 28"
,,,,,,,,,,,,"SDQ - Question 29"
,,,,,,,,,,,,"SDQ - Question 30"
,,,,,,,,,,,,"SDQ - Question 31"
,,,,,,,,,,,,"SDQ - Question 32"
,,,,,,,,,,,,"SDQ - Question 33"
,,,,,,,,,,,,"SDQ - Question 34"
,,,,,,,,,,,,"SDQ - Question 35"
,,,,,,,,,,,,"SDQ - Question 36"
,,,,,,,,,,,,"SDQ - Question 37"
,,,,,,,,,,,,"SDQ - Question 38"
,,,,,,,,,,,,"SDQ - Question 39"
,,,,,,,,,,,,"SDQ - Question 40"
,,,,,,,,,,,,"SDQ - Question 41"
,,,,,,,,,,,,"SDQ - Question 42"
,,,,,,,,,,,,"SDQ - Emotional Symptoms Scale"
,,,,,,,,,,,,"SDQ - Conduct Problem Scale"
,,,,,,,,,,,,"SDQ - Hyperactivity Scale"
,,,,,,,,,,,,"SDQ - Peer Problem Scale"
,,,,,,,,,,,,"SDQ - Prosocial Scale"
,,,,,,,,,,,,"SDQ - Total Difficulties Score"
,,,,,,,,,,,,"SDQ - Impact Score"
,,,,,,,,,,,,"SDQ - Tags"
