File Type,CSV filename,Excel worksheet name,Required
:ref:`Clients <client-format>`,clients.csv,Clients,Required
:ref:`Intake Episodes <intake-episode-format>`,intake-episodes.csv,Intake Episodes,Required
:ref:`Episodes <episode-format>`,episodes.csv,Episodes,Required
:ref:`Service Contacts <service-contact-format>`,service-contacts.csv,Service Contacts,Required
:ref:`Service Contact Practitioners <service-contact-practitioner-format>`,service-contact-practitioners.csv,Service Contact Practitioners,Required
:ref:`Collection Occasions <collection-occasion-format>`,collection-occasions.csv,Collection Occasions,Required
:ref:`K10+ Measures <k10p-format>`,k10p.csv,K10+,Required
:ref:`K5 Measures <k5-format>`,k5.csv,K5,Required
:ref:`SDQ Measures <sdq-format>`,sdq.csv,SDQ,Required
:ref:`Practitioners <practitioner-format>`,practitioners.csv,Practitioners,Required for first upload and when practitioner information changes. Optional otherwise
:ref:`UA Episodes <ua-episode-format>`,ua-episodes.csv,UA Episodes,Required where Episodes using the '8: Universal Aftercare' Program Type are included. Optional otherwise
:ref:`UA Recommendation Outs <ua-recommendation-out-format>`,ua-recommendation-outs.csv,UA Recommendation Outs,Required where Episodes using the '8: Universal Aftercare' Program Type are included. Optional otherwise
:ref:`UA Critical Incidents <ua-critical-incident-format>`,ua-critical-incidents.csv,UA Critical Incidents,Required where Episodes using the '8: Universal Aftercare' Program Type are included. Optional otherwise
:ref:`UA Plans <ua-plan-format>`,ua-plans.csv,UA Plans,Required where Episodes using the '8: Universal Aftercare' Program Type are included. Optional otherwise
:ref:`UA Needs Identifications <ua-needs-identification-format>`,ua-needs-identifications.csv,UA Needs Identifications,Required where Episodes using the '8: Universal Aftercare' Program Type are included. Optional otherwise
:ref:`SIDAS <sidas-format>`,sidas.csv,SIDAS,Required where Episodes using the '8: Universal Aftercare' Program Type are included. Optional otherwise
:ref:`WHO-5 <who5-format>`,who5.csv,WHO-5,Required where Episodes using the '8: Universal Aftercare' Program Type are included. Optional otherwise
:ref:`Organisations <organisation-format>`,organisations.csv,Organisations,"Optional, may only be included if the user has Organisation Management Role"
:ref:`Metadata <metadata-format>`,metadata.csv,Metadata,Required
